STRATUM,STATION_TYPE,STATIONID,LONGITUDE,LATITUDE,VESSEL
411,prescribed,104-22,177.7408,51.89333,176
411,prescribed,100-21,177.4371,51.87158,176
411,prescribed,97-20,177.2243,51.82112,148
412,prescribed,100-21,177.4561,51.84972,176
412,prescribed,125-7,179.3204,51.26877,176
412,prescribed,102-20,177.5947,51.82534,176
412,prescribed,112-16,178.3476,51.66054,176
412,prescribed,103-21,177.6904,51.8482,176
412,prescribed,104-19,177.7458,51.78469,176
412,prescribed,103-19,177.675,51.78522,148
412,prescribed,105-18,177.8208,51.75044,148
412,prescribed,118-11,178.7988,51.44595,148
412,prescribed,106-18,177.8957,51.74579,148
412,prescribed,104-20,177.7437,51.81997,148
412,prescribed,113-16,178.4271,51.63609,148
412,new_stn,NA,,,148
412,bonus_stn,NA,,,
413,prescribed,112-16,178.3383,51.64103,176
413,prescribed,123-7,179.1725,51.24585,176
413,prescribed,119-11,178.8532,51.41673,148
413,prescribed,99-18,177.3665,51.74936,148
414,prescribed,115-11,178.5734,51.44159,176
414,prescribed,109-16,178.1192,51.6425,148
414,bonus_stn,NA,,,
421,prescribed,169-17,-177.367,51.68952,176
421,prescribed,163-15,-177.8232,51.60719,176
421,prescribed,162-16,-177.8866,51.64612,148
421,prescribed,153-16,-178.5712,51.62831,148
422,prescribed,157-15,-178.2419,51.6115,176
422,prescribed,160-15,-178.0473,51.59088,176
422,prescribed,166-15,-177.6021,51.61486,176
422,prescribed,152-13,-178.6472,51.51483,148
422,prescribed,159-14,-178.1186,51.57359,148
422,prescribed,160-14,-178.0473,51.57681,148
422,prescribed,155-16,-178.4414,51.62839,148
423,prescribed,160-14,-178.0512,51.5668,176
423,prescribed,164-15,-177.7553,51.59446,176
423,prescribed,159-14,-178.1195,51.56161,148
424,prescribed,166-14,-177.5977,51.55818,148
424,prescribed,168-15,-177.4421,51.60226,148
424,prescribed,154-12,-178.4978,51.45463,176
511,prescribed,194-26,-175.49,52.08201,148
511,prescribed,180-23,-176.528,51.9508,148
511,prescribed,194-25,-175.4876,52.03823,176
512,prescribed,197-26,-175.2726,52.09444,148
512,prescribed,176-22,-176.8589,51.90715,148
512,prescribed,181-22,-176.4646,51.89608,176
512,prescribed,206-32,-174.5861,52.34227,176
513,prescribed,197-27,-175.2764,52.14178,148
513,prescribed,192-28,-175.6298,52.15534,148
513,new_stn,NA,,,176
521,prescribed,226-28,-173.0841,52.1697,148
521,prescribed,214-30,-173.9653,52.23944,176
522,prescribed,229-29,-172.8586,52.21361,176
522,prescribed,227-30,-173.0101,52.25564,176
522,prescribed,217-34,-173.7712,52.42581,176
522,prescribed,219-35,-173.5873,52.47864,176
522,prescribed,266-46,-170.0782,52.97018,176
522,prescribed,225-30,-173.1577,52.25114,176
522,prescribed,214-29,-173.9737,52.21229,176
522,prescribed,236-35,-172.3323,52.47798,176
522,prescribed,221-30,-173.4571,52.25756,176
522,prescribed,229-30,-172.8584,52.25298,176
522,prescribed,216-29,-173.836,52.21361,176
522,prescribed,216-30,-173.8325,52.25068,176
522,prescribed,216-31,-173.836,52.30156,148
522,prescribed,265-49,-170.1401,53.08242,148
522,prescribed,217-31,-173.7608,52.30156,148
522,prescribed,256-39,-170.8392,52.6677,148
522,prescribed,235-34,-172.4068,52.43453,148
522,prescribed,216-34,-173.8329,52.41997,148
522,prescribed,260-41,-170.5286,52.73314,148
522,prescribed,265-48,-170.1521,53.05631,148
522,prescribed,216-33,-173.836,52.38968,148
522,prescribed,217-30,-173.7608,52.25756,148
522,prescribed,230-29,-172.7834,52.21361,148
522,prescribed,215-29,-173.9111,52.21361,148
522,bonus_stn,NA,,,
523,prescribed,238-35,-172.182,52.47798,176
523,prescribed,249-44,-171.3549,52.87744,176
523,prescribed,262-46,-170.3818,52.96683,176
523,prescribed,247-43,-171.5059,52.83296,176
523,prescribed,236-36,-172.326,52.53818,176
523,prescribed,223-37,-173.2982,52.54531,176
523,prescribed,220-36,-173.5324,52.50853,176
523,prescribed,262-47,-170.3761,53.00801,176
523,prescribed,229-30,-172.8586,52.27468,176
523,prescribed,249-43,-171.354979,52.83295938,176
523,prescribed,236-37,-172.328,52.55783,148
523,prescribed,261-45,-170.4522,52.92216,148
523,prescribed,247-42,-171.5053,52.78843,148
523,prescribed,221-36,-173.4635,52.52929,148
523,prescribed,237-36,-172.2544,52.5204,148
523,prescribed,225-30,-173.1588,52.27284,148
523,prescribed,220-35,-173.536,52.48588,148
523,prescribed,217-34,-173.7572,52.43995,148
523,prescribed,219-35,-173.5972,52.46608,148
523,bonus_stn,NA,,,
594,prescribed,261-46,-170.4615,52.97172,176
594,prescribed,219-31,-173.6089,52.30795,176
594,prescribed,231-32,-172.7274,52.34914,148
594,prescribed,233-35,-172.5624,52.49044,148
611,prescribed,197-23,-175.2668,51.95848,176
611,prescribed,212-25,-174.1367,52.03823,148
612,prescribed,179-15,-176.6177,51.60276,176
612,prescribed,198-21,-175.1892,51.86354,176
612,prescribed,193-21,-175.5651,51.86354,176
612,prescribed,177-14,-176.77,51.56368,176
612,prescribed,213-21,-174.0584,51.86861,148
612,prescribed,199-21,-175.1141,51.86354,148
612,prescribed,178-14,-176.6955,51.56983,148
612,bonus_stn,NA,,,
613,prescribed,204-20,-174.7383,51.82238,176
613,prescribed,198-20,-175.1873,51.81332,148
613,prescribed,196-19,-175.3403,51.78472,148
613,bonus_stn,NA,,,
614,prescribed,179-14,-176.6146,51.54792,176
614,prescribed,182-15,-176.3919,51.59372,148
621,prescribed,218-23,-173.6869,51.95642,148
621,prescribed,259-37,-170.6091,52.58302,148
621,prescribed,260-39,-170.5265,52.64614,176
621,prescribed,220-23,-173.5343,51.95823,176
622,prescribed,235-26,-172.4075,52.08201,148
622,prescribed,232-28,-172.6306,52.17091,148
622,prescribed,235-28,-172.4125,52.1697,148
622,prescribed,217-22,-173.7606,51.90678,148
622,prescribed,230-28,-172.773,52.18212,148
622,prescribed,258-36,-170.6794,52.52463,148
622,prescribed,232-24,-172.6331,51.99449,148
622,prescribed,237-25,-172.2572,52.03823,176
622,prescribed,215-21,-173.9126,51.869,176
622,prescribed,265-35,-170.1533,52.47971,176
622,prescribed,259-36,-170.6053,52.5339,176
622,prescribed,218-23,-173.6845,51.93419,176
622,prescribed,231-28,-172.707,52.17892,176
622,prescribed,214-23,-173.9761,51.94813,176
622,prescribed,215-22,-173.9111,51.90715,176
622,bonus_stn,NA,,,
623,prescribed,252-35,-171.1328,52.48307,148
623,prescribed,266-33,-170.0799,52.39722,148
623,prescribed,248-34,-171.4016,52.42886,148
623,prescribed,249-33,-171.3533,52.38728,148
623,prescribed,258-32,-170.676,52.3456,176
